TOTAL_COUNT: 10
ID: 3d954caf-3391-4ec1-9fb6-23161f3b16ee | No: INV-20260831-7110E83A | Class: None | Date: 2026-08-31 22:31:15.696440+00:00
ID: 0794406d-6562-4286-b483-8806754e41bf | No: INV-20260902-929FBE80 | Class: None | Date: 2026-09-02 22:58:44.117072+00:00
ID: 5d613445-0000-401d-ab6d-482ec4fc52a6 | No: INV-2026-000006 | Class: None | Date: 2026-09-06 21:08:14.138965+00:00
ID: 55e7b63d-599f-4951-8e36-17cc773d394c | No: INV-2026-000010 | Class: فاتورة خدمات | Date: 2026-09-06 21:18:24.997088+00:00
ID: eaf5951d-9fa7-4fc3-97d8-e6991d9468a6 | No: INV-2026-000011 | Class: فاتورة خدمات | Date: 2026-09-06 21:18:58.059402+00:00
ID: 7ca2ffc1-fa7f-4cec-9c54-ce5f4ff0bf92 | No: INV-2026-296169 | Class: فاتورة خدمات | Date: 2026-09-06 21:21:38.297361+00:00
ID: b35f8380-4917-4ca5-9af4-bcea41ad51bb | No: INV-2026-381797 | Class: فاتورة خدمات | Date: 2026-09-06 21:21:51.439544+00:00
ID: f86e0b05-771d-4657-9c8a-add4309a5076 | No: INV-2026-000012 | Class: فاتورة خدمات | Date: 2026-09-06 21:28:16.310740+00:00
ID: e65155e5-3861-47f1-ac18-80a32d7c1423 | No: INV-2026-902482 | Class: فاتورة خدمات | Date: 2026-09-06 21:28:49.025056+00:00
ID: 11aa538d-965d-453c-bc55-c41735f1546c | No: INV-2026-635926 | Class: فاتورة خدمات | Date: 2026-09-06 21:32:02.015100+00:00
SEQUENCE_LAST_VALUE: 13
